scene_id agent_id completed_episodes green amber red amber_red collision wall not_permitted target step_count
7 5 1 0 0 0 0 1 0 0 0 1
7 9 1 0 0 0 0 1 0 0 0 1
14 4 1 0 0 0 0 1 0 0 0 1
14 8 1 0 0 0 0 1 0 0 0 1
6 5 1 0 0 0 0 1 0 0 0 1
6 9 1 0 0 0 0 1 0 0 0 1
16 4 1 0 0 0 0 1 0 0 0 1
16 8 1 0 0 0 0 1 0 0 0 1
12 4 1 0 0 0 0 1 0 0 0 1
12 8 1 0 0 0 0 1 0 0 0 1
18 3 1 0 0 0 0 1 0 0 0 1
18 7 1 0 0 0 0 1 0 0 0 1
14 3 1 0 0 0 0 1 0 0 0 4
14 7 1 0 0 0 0 1 0 0 0 4
21 3 1 0 0 0 0 1 0 0 0 5
21 7 1 0 0 0 0 1 0 0 0 5
8 2 1 0 0 0 0 1 0 0 0 8
8 6 1 0 0 0 0 1 0 0 0 8
15 7 1 1 0 0 0 0 0 0 1 179
12 2 1 1 0 0 0 0 0 0 1 190
19 6 1 1 0 0 0 0 0 0 1 197
10 6 1 1 0 0 0 0 0 0 1 204
19 3 1 1 0 0 0 0 0 0 1 206
9 3 1 1 0 0 0 0 0 0 1 208
17 3 1 1 0 0 0 0 0 0 1 208
10 7 1 1 0 0 0 0 0 0 1 214
7 2 1 2 0 0 0 0 0 0 1 214
9 6 1 1 0 0 0 0 0 0 1 222
12 3 1 1 0 0 0 0 0 0 1 223
13 3 1 1 0 0 0 0 0 0 1 224
17 7 1 1 0 0 0 0 0 0 1 227
8 2 2 1 0 0 0 0 0 0 1 219
15 3 1 1 0 0 0 0 0 0 1 231
7 6 1 1 0 0 0 0 0 0 1 232
18 3 2 1 0 0 0 0 0 0 1 233
16 2 1 1 0 0 0 0 0 0 1 238
13 6 1 1 0 0 0 0 0 0 1 238
16 3 1 1 0 0 0 0 0 0 1 240
9 2 1 1 0 0 0 0 0 0 1 242
15 2 1 1 0 0 0 0 0 0 1 244
11 6 1 1 0 0 0 0 0 0 1 245
21 6 1 1 0 0 0 0 0 0 1 246
18 6 1 1 0 0 0 0 0 0 1 249
19 2 1 1 0 0 0 0 0 0 1 249
17 6 1 1 0 0 0 0 0 0 1 253
7 7 1 1 0 0 0 0 0 0 1 256
6 2 1 1 0 0 0 0 0 0 1 256
11 3 1 1 0 0 0 0 0 0 1 257
17 2 1 1 0 0 0 0 0 0 1 260
6 3 1 1 0 0 0 0 0 0 1 266
14 3 2 1 0 0 0 0 0 0 1 264
15 6 1 1 0 0 0 0 0 0 1 269
12 7 1 1 0 0 0 0 0 0 1 270
16 6 1 1 0 0 0 0 0 0 1 271
6 7 1 1 0 0 0 0 0 0 1 271
11 2 1 1 0 0 0 0 0 0 1 273
11 7 1 1 0 0 0 0 0 0 1 276
8 3 1 1 0 0 0 0 0 0 1 280
19 7 1 1 0 0 0 0 0 0 1 281
9 7 1 1 0 0 0 0 0 0 1 281
14 6 1 1 0 0 0 0 0 0 1 281
12 6 1 1 0 0 0 0 0 0 1 282
21 7 2 1 0 0 0 0 0 0 1 277
8 6 2 1 0 0 0 0 0 0 1 277
21 3 2 1 0 0 0 0 0 0 1 281
20 7 1 1 0 0 0 0 0 0 1 288
13 2 1 1 0 0 0 0 0 0 1 296
14 2 1 1 0 0 0 0 0 0 1 297
18 2 1 1 0 0 0 0 0 0 1 300
8 7 1 1 0 0 0 0 0 0 1 301
6 6 1 1 0 0 0 0 0 0 1 305
16 7 1 1 0 0 0 0 0 0 1 308
21 2 1 1 0 0 0 0 0 0 1 312
10 2 1 1 0 0 0 0 0 0 1 320
20 2 1 1 0 0 0 0 0 0 1 355
7 3 1 1 0 0 0 0 0 0 1 356
20 6 1 1 0 0 0 0 0 0 1 359
20 3 1 1 0 0 0 0 0 0 1 367
14 7 2 1 0 0 0 0 0 0 1 370
13 7 1 1 0 0 0 0 0 0 1 377
18 7 2 1 0 0 0 0 0 0 1 382
15 7 2 1 0 0 0 0 0 0 1 211
11 3 2 1 0 0 0 0 0 0 1 157
12 2 2 1 0 0 0 0 0 0 1 230
7 2 2 1 0 0 0 0 0 0 1 211
15 3 2 1 0 0 0 0 0 0 1 201
9 3 2 1 0 0 0 0 0 0 1 227
18 6 2 1 0 0 0 0 0 0 1 191
13 3 2 1 0 0 0 0 0 0 1 224
11 2 2 1 0 0 0 0 0 0 1 184
11 6 2 1 0 0 0 0 0 0 1 213
19 2 2 1 0 0 0 0 0 0 1 210
10 7 2 1 0 0 0 0 0 0 1 246
12 3 2 1 0 0 0 0 0 0 1 239
17 3 2 1 0 0 0 0 0 0 1 264
18 3 3 1 0 0 0 0 0 0 1 240
15 2 2 1 0 0 0 0 0 0 1 233
7 6 2 0 1 0 0 0 0 0 1 249
8 2 3 1 0 0 0 0 0 0 1 255
9 7 2 1 1 0 0 0 0 0 1 204
9 3 3 0 0 0 0 1 0 0 0 51
9 7 2 0 0 0 0 1 0 0 0 1
16 3 2 1 0 0 0 0 0 0 1 247
13 6 2 1 0 0 0 0 0 0 1 251
10 6 2 1 0 0 0 0 0 0 1 289
20 7 2 1 0 0 0 0 0 0 1 206
16 2 2 1 1 0 0 0 0 0 1 256
14 6 2 1 0 0 0 0 0 0 1 217
6 3 2 1 0 0 0 0 0 0 1 236
9 6 2 1 1 0 0 0 0 0 1 284
7 7 2 1 1 0 0 0 0 0 1 253
12 7 2 1 0 0 0 0 0 0 1 242
17 2 2 0 1 0 0 0 0 0 1 252
8 3 2 1 0 0 0 0 0 0 1 234
16 6 2 0 2 0 0 0 0 0 1 244
14 2 2 1 0 0 0 0 0 0 1 220
21 6 2 0 1 0 0 0 0 0 1 272
13 2 2 1 0 0 0 0 0 0 1 225
9 2 2 1 0 0 0 0 0 0 1 290
11 7 2 1 1 0 0 0 0 0 1 262
16 7 2 0 1 0 0 0 0 0 1 235
8 6 3 1 0 0 0 0 0 0 1 266
12 6 2 1 0 0 0 0 0 0 1 271
18 2 2 0 1 0 0 0 0 0 1 253
6 2 2 1 0 0 0 0 0 0 1 299
11 6 3 0 1 1 0 0 0 0 0 99
14 3 3 1 0 0 0 0 0 0 1 290
15 6 2 1 0 0 0 0 0 0 1 291
21 7 3 0 1 0 0 0 0 0 1 280
17 7 2 1 1 0 0 0 0 0 1 336
8 2 4 0 1 1 0 0 0 0 0 91
21 3 3 0 1 0 0 0 0 0 1 292
19 3 2 1 0 0 0 0 0 0 1 373
13 7 2 1 0 0 0 0 0 0 1 213
21 2 2 0 1 0 0 0 0 0 1 279
10 7 3 0 1 1 0 0 0 0 0 133
8 7 2 1 1 0 0 0 0 0 1 304
6 7 2 1 0 0 0 0 0 0 1 334
20 3 2 1 0 0 0 0 0 0 1 244
10 2 2 0 1 0 0 0 0 0 1 295
6 6 2 1 0 0 0 0 0 0 1 312
18 7 3 0 1 0 0 0 0 0 1 239
14 3 4 0 1 1 0 0 0 0 0 69
19 6 2 1 0 0 0 0 0 0 1 431
7 2 3 0 1 0 0 0 0 0 1 207
7 3 2 0 1 0 0 0 0 0 1 283
14 7 3 0 1 0 0 0 0 0 1 272
14 3 5 0 0 0 0 1 0 0 0 20
14 7 3 0 0 0 0 1 0 0 0 1
15 7 3 0 1 0 0 0 0 0 1 257
18 6 3 0 1 0 0 0 0 0 1 214
17 6 2 0 1 0 0 0 0 0 1 406
13 3 3 0 1 0 0 0 0 0 1 224
12 2 3 0 1 0 0 0 0 0 1 252
15 3 3 0 1 0 0 0 0 0 1 243
11 3 3 0 1 0 0 0 0 0 1 264
20 6 2 0 1 0 0 0 0 0 1 319
12 7 3 0 1 0 0 0 0 0 1 176
12 3 3 0 1 0 0 0 0 0 1 227
20 2 2 0 1 0 0 0 0 0 1 340
6 7 3 0 1 1 0 0 0 0 0 94
13 6 3 0 1 0 0 0 0 0 1 212
14 6 3 0 1 0 0 0 0 0 1 207
6 3 3 0 1 0 0 0 0 0 1 205
14 5 1 0 0 0 1 0 0 0 0 707
19 3 3 0 0 1 0 0 0 0 0 131
11 2 3 0 1 0 0 0 0 0 1 254
19 2 3 0 2 0 0 0 0 0 1 268
14 8 2 0 0 0 1 0 0 0 0 735
10 6 3 0 1 0 0 0 0 0 1 244
15 2 3 0 1 0 0 0 0 0 1 269
21 3 4 0 0 0 0 1 0 0 0 184
21 7 4 0 0 0 0 1 0 0 0 200
14 5 2 0 0 0 1 0 0 0 0 61
13 7 3 0 1 0 0 0 0 0 1 178
14 2 3 0 1 0 0 0 0 0 1 266
20 7 3 0 1 0 0 0 0 0 1 292
12 6 3 0 1 0 0 0 0 0 1 248
6 2 3 0 1 0 0 0 0 0 1 246
21 4 1 1 0 0 0 0 0 0 1 827
17 9 1 1 0 0 0 0 0 0 1 828
18 5 1 1 0 0 0 0 0 0 1 830
11 9 1 1 0 0 0 0 0 0 1 832
11 8 1 1 0 0 0 0 0 0 1 833
7 8 1 1 0 0 0 0 0 0 1 844
21 5 1 1 0 0 0 0 0 0 1 855
7 5 2 1 0 0 0 0 0 0 1 855
9 9 1 1 0 0 0 0 0 0 1 861
11 5 1 1 0 0 0 0 0 0 1 864
13 2 3 0 1 0 0 0 0 0 1 346
17 5 1 1 0 0 0 0 0 0 1 871
6 6 3 0 1 0 0 0 0 0 1 257
7 4 1 1 0 0 0 0 0 0 1 879
16 5 1 1 0 0 0 0 0 0 1 884
21 8 1 1 0 0 0 0 0 0 1 892
21 9 1 2 0 0 0 0 0 0 1 894
16 4 2 1 0 0 0 0 0 0 1 898
16 8 2 1 0 0 0 0 0 0 1 903
16 9 1 1 0 0 0 0 0 0 1 910
17 8 1 1 0 0 0 0 0 0 1 920
8 8 1 1 0 0 0 0 0 0 1 923
10 4 1 1 0 0 0 0 0 0 1 926
17 4 1 1 0 0 0 0 0 0 1 926
18 8 1 1 0 0 0 0 0 0 1 930
