scene_id agent_id completed_episodes green amber red amber_red collision wall not_permitted target step_count
13 3 1 1 0 0 0 0 0 0 1 161
8 3 1 1 0 0 0 0 0 0 1 178
9 3 1 1 0 0 0 0 0 0 1 181
19 2 1 1 0 0 0 0 0 0 1 202
21 2 1 1 0 0 0 0 0 0 1 210
18 2 1 1 0 0 0 0 0 0 1 213
20 3 1 1 0 0 0 0 0 0 1 217
7 2 1 1 0 0 0 0 0 0 1 221
17 2 1 1 0 0 0 0 0 0 1 226
17 3 1 1 0 0 0 0 0 0 1 229
12 2 1 2 0 0 0 0 0 0 1 236
8 2 1 1 0 0 0 0 0 0 1 241
7 3 1 1 0 0 0 0 0 0 1 242
10 3 1 2 0 0 0 0 0 0 1 242
11 2 1 1 0 0 0 0 0 0 1 243
10 2 1 1 0 0 0 0 0 0 1 244
12 3 1 1 0 0 0 0 0 0 1 253
20 2 1 1 0 0 0 0 0 0 1 254
6 2 1 1 0 0 0 0 0 0 1 255
15 3 1 1 0 0 0 0 0 0 1 261
15 2 1 1 0 0 0 0 0 0 1 261
19 3 1 1 0 0 0 0 0 0 1 268
16 3 1 1 0 0 0 0 0 0 1 275
21 3 1 1 0 0 0 0 0 0 1 277
11 3 1 1 0 0 0 0 0 0 1 282
18 3 1 1 0 0 0 0 0 0 1 287
6 3 1 1 0 0 0 0 0 0 1 293
13 2 1 1 0 0 0 0 0 0 1 298
16 2 1 2 0 0 0 0 0 0 1 300
9 2 1 1 0 0 0 0 0 0 1 301
14 2 1 1 0 0 0 0 0 0 1 302
14 3 1 1 0 0 0 0 0 0 1 342
13 3 2 1 0 0 0 0 0 0 1 204
17 2 2 1 0 0 0 0 0 0 1 183
19 2 2 1 0 0 0 0 0 0 1 208
7 2 2 1 0 0 0 0 0 0 1 212
21 2 2 1 0 0 0 0 0 0 1 231
8 2 2 1 0 0 0 0 0 0 1 203
20 3 2 1 0 0 0 0 0 0 1 230
16 3 2 1 0 0 0 0 0 0 1 175
12 2 2 1 1 0 0 0 0 0 1 216
17 3 2 1 0 0 0 0 0 0 1 237
9 3 2 1 0 0 0 0 0 0 1 288
19 3 2 1 0 0 0 0 0 0 1 204
18 2 2 1 0 0 0 0 0 0 1 265
6 2 2 0 1 0 0 0 0 0 1 226
10 2 2 1 0 0 0 0 0 0 1 239
10 3 2 1 0 0 0 0 0 0 1 245
8 3 2 1 0 0 0 0 0 0 1 313
12 3 2 1 1 0 0 0 0 0 1 247
21 3 2 1 0 0 0 0 0 0 1 225
15 3 2 0 1 0 0 0 0 0 1 249
7 3 2 1 0 0 0 0 0 0 1 273
15 2 2 0 1 0 0 0 0 0 1 254
20 2 2 1 0 0 0 0 0 0 1 268
11 3 2 1 0 0 0 0 0 0 1 244
6 3 2 0 1 0 0 0 0 0 1 235
14 3 2 1 0 0 0 0 0 0 1 187
16 2 2 1 1 0 0 0 0 0 1 230
18 3 2 0 1 0 0 0 0 0 1 254
13 2 2 0 1 0 0 0 0 0 1 254
9 2 2 1 0 0 0 0 0 0 1 255
11 2 2 1 0 0 0 0 0 0 1 316
11 3 3 0 1 1 0 0 0 0 0 89
13 3 3 0 1 0 0 0 0 0 1 260
20 3 3 0 1 0 0 0 0 0 1 187
19 2 3 0 1 0 0 0 0 0 1 236
14 2 2 1 0 0 0 0 0 0 1 355
9 2 3 0 1 1 0 0 0 0 0 101
12 2 3 0 1 0 0 0 0 0 1 212
19 3 3 0 1 0 0 0 0 0 1 204
21 2 3 0 1 0 0 0 0 0 1 236
17 2 3 0 1 0 0 0 0 0 1 273
10 3 3 0 1 0 0 0 0 0 1 203
16 3 3 0 1 0 0 0 0 0 1 261
8 2 3 0 1 0 0 0 0 0 1 276
7 3 3 0 1 0 0 0 0 0 1 206
9 3 3 0 1 0 0 0 0 0 1 261
7 2 3 0 1 0 0 0 0 0 1 299
21 3 3 0 1 0 0 0 0 0 1 238
10 2 3 0 1 0 0 0 0 0 1 281
14 3 3 0 1 0 0 0 0 0 1 238
17 4 1 1 0 0 0 0 0 0 1 790
6 4 1 2 0 0 0 0 0 0 1 801
18 5 1 4 0 0 0 0 0 0 1 848
13 5 1 1 0 0 0 0 0 0 1 866
13 4 1 1 0 0 0 0 0 0 1 869
15 4 1 1 0 0 0 0 0 0 1 876
12 4 1 1 0 0 0 0 0 0 1 883
20 4 1 1 0 0 0 0 0 0 1 890
20 5 1 1 0 0 0 0 0 0 1 899
17 5 1 1 0 0 0 0 0 0 1 902
12 5 1 1 0 0 0 0 0 0 1 905
15 5 1 1 0 0 0 0 0 0 1 913
16 5 1 1 0 0 0 0 0 0 1 917
16 4 1 1 0 0 0 0 0 0 1 921
18 4 1 1 0 0 0 0 0 0 1 926
8 4 1 1 0 0 0 0 0 0 1 931
8 5 1 1 0 0 0 0 0 0 1 938
7 5 1 1 0 0 0 0 0 0 1 938
6 5 1 1 0 0 0 0 0 0 1 943
19 4 1 1 0 0 0 0 0 0 1 962
14 4 1 1 0 0 0 0 0 0 1 978
11 4 1 1 0 0 0 0 0 0 1 984
17 4 2 1 0 0 0 0 0 0 1 203
11 5 1 1 0 0 0 0 0 0 1 999
21 5 1 1 0 0 0 0 0 0 1 1005
6 4 2 1 0 0 0 0 0 0 1 205
19 5 1 1 0 0 0 0 0 0 1 1009
10 5 1 1 0 0 0 0 0 0 1 1023
14 5 1 1 0 0 0 0 0 0 1 1045
9 5 1 1 0 0 0 0 0 0 1 1046
21 4 1 1 0 0 0 0 0 0 1 1047
10 4 1 1 0 0 0 0 0 0 1 1051
7 4 1 1 0 0 0 0 0 0 1 1051
12 4 2 1 0 0 0 0 0 0 1 194
13 4 2 1 0 0 0 0 0 0 1 218
12 5 2 1 0 0 0 0 0 0 1 195
18 5 2 1 0 0 0 0 0 0 1 260
16 5 2 1 0 0 0 0 0 0 1 196
16 4 2 1 0 0 0 0 0 0 1 226
15 5 2 0 1 0 0 0 0 0 1 235
17 5 2 1 0 0 0 0 0 0 1 250
19 4 2 1 0 0 0 0 0 0 1 194
6 5 2 0 1 0 0 0 0 0 1 219
20 4 2 1 0 0 0 0 0 0 1 274
20 5 2 1 0 0 0 0 0 0 1 265
13 5 2 1 0 0 0 0 0 0 1 304
18 4 2 1 0 0 0 0 0 0 1 253
15 4 2 0 1 0 0 0 0 0 1 303
7 5 2 1 0 0 0 0 0 0 1 246
8 4 2 1 0 0 0 0 0 0 1 263
6 4 3 0 1 0 0 0 0 0 1 199
17 4 3 1 0 0 0 0 0 0 1 219
8 5 2 2 0 0 0 0 0 0 1 282
10 5 2 1 0 0 0 0 0 0 1 200
21 5 2 1 0 0 0 0 0 0 1 224
11 4 2 1 0 0 0 0 0 0 1 246
11 5 2 1 0 0 0 0 0 0 1 240
10 4 2 1 0 0 0 0 0 0 1 202
19 5 2 1 0 0 0 0 0 0 1 254
9 5 2 1 0 0 0 0 0 0 1 242
14 4 2 1 0 0 0 0 0 0 1 321
17 5 3 0 1 0 0 0 0 0 1 159
21 4 2 1 0 0 0 0 0 0 1 274
7 4 2 1 0 0 0 0 0 0 1 283
13 4 3 0 1 0 0 0 0 0 1 253
14 5 2 0 1 0 0 0 0 0 1 302
12 4 3 0 1 0 0 0 0 0 1 271
12 5 3 0 1 0 0 0 0 0 1 252
20 5 3 0 1 0 0 0 0 0 1 190
18 5 3 0 1 0 0 0 0 0 1 252
16 5 3 0 1 0 0 0 0 0 1 276
19 4 3 0 1 0 0 0 0 0 1 246
20 4 3 0 1 0 0 0 0 0 1 250
8 4 3 0 1 0 0 0 0 0 1 224
21 5 3 0 1 0 0 0 0 0 1 223
12 3 3 0 0 0 1 0 0 0 0 953
12 2 4 0 0 0 1 0 0 0 0 790
10 5 3 0 1 0 0 0 0 0 1 233
11 4 3 0 1 0 0 0 0 0 1 227
15 3 3 1 0 0 0 0 0 0 1 959
7 5 3 0 1 0 0 0 0 0 1 291
17 4 4 0 1 0 0 0 0 0 1 276
6 3 3 1 0 0 0 0 0 0 1 963
10 4 3 0 1 0 0 0 0 0 1 240
9 5 3 0 1 0 0 0 0 0 1 218
16 3 4 1 0 0 0 0 0 0 1 808
13 3 4 1 0 0 0 0 0 0 1 901
11 5 3 0 1 0 0 0 0 0 1 296
15 2 3 1 0 0 0 0 0 0 1 1035
21 4 3 0 1 0 0 0 0 0 1 234
16 2 3 1 0 0 0 0 0 0 1 1031
19 5 3 0 1 0 0 0 0 0 1 305
18 2 3 1 0 0 0 0 0 0 1 1123
6 2 3 1 0 0 0 0 0 0 1 1128
8 2 4 1 0 0 0 0 0 0 1 909
14 3 4 1 0 0 0 0 0 0 1 862
10 3 4 1 0 0 0 0 0 0 1 956
17 2 4 1 0 0 0 0 0 0 1 966
17 3 3 1 0 0 0 0 0 0 1 1185
13 2 3 1 0 0 0 0 0 0 1 1100
20 3 4 1 0 0 0 0 0 0 1 1020
18 3 3 1 0 0 0 0 0 0 1 1113
20 2 3 1 0 0 0 0 0 0 1 1159
15 3 4 1 0 0 0 0 0 0 1 222
9 4 1 1 0 0 0 0 0 0 1 1692
11 2 3 1 0 0 0 0 0 0 1 1152
12 3 4 1 0 0 0 0 0 0 1 260
12 2 5 1 0 0 0 0 0 0 1 267
11 3 4 1 0 0 0 0 0 0 1 1110
14 2 3 1 0 0 0 0 0 0 1 1072
7 2 4 1 0 0 0 0 0 0 1 1011
19 3 4 1 0 0 0 0 0 0 1 1068
6 3 4 1 0 0 0 0 0 0 1 255
15 2 4 1 0 0 0 0 0 0 1 205
16 2 4 1 0 0 0 0 0 0 1 207
13 3 5 1 0 0 0 0 0 0 1 254
10 2 4 1 0 0 0 0 0 0 1 1030
21 2 4 1 0 0 0 0 0 0 1 1118
16 3 5 1 0 0 0 0 0 0 1 278
9 2 4 1 0 0 0 0 0 0 1 1145
7 3 4 1 0 0 0 0 0 0 1 1087
19 2 4 1 0 0 0 0 0 0 1 1174
9 3 4 1 0 0 0 0 0 0 1 1096
6 2 4 1 0 0 0 0 0 0 1 229
20 3 5 1 0 0 0 0 0 0 1 187
21 3 4 1 0 0 0 0 0 0 1 1109
17 2 5 1 0 0 0 0 0 0 1 218
8 2 5 1 0 0 0 0 0 0 1 237
18 2 4 2 0 0 0 0 0 0 1 280
13 2 4 1 0 0 0 0 0 0 1 238
18 3 4 2 0 0 0 0 0 0 1 247
14 3 5 1 0 0 0 0 0 0 1 276
15 3 5 1 1 0 0 0 0 0 1 218
11 3 5 1 0 0 0 0 0 0 1 195
12 3 5 1 0 0 0 0 0 0 1 209
7 2 5 1 0 0 0 0 0 0 1 185
17 3 4 0 1 0 0 0 0 0 1 285
19 3 5 2 0 0 0 0 0 0 1 197
13 3 6 0 1 0 0 0 0 0 1 164
20 2 4 1 0 0 0 0 0 0 1 266
10 3 5 1 0 0 0 0 0 0 1 303
21 2 5 1 0 0 0 0 0 0 1 166
6 3 5 0 1 0 0 0 0 0 1 224
12 2 6 1 0 0 0 0 0 0 1 263
16 3 6 0 0 1 0 0 0 0 0 189
14 2 4 1 0 0 0 0 0 0 1 259
15 2 5 0 1 0 0 0 0 0 1 251
16 2 5 0 1 0 0 0 0 0 1 239
11 2 4 1 0 0 0 0 0 0 1 297
9 2 5 1 0 0 0 0 0 0 1 222
20 3 6 0 1 0 0 0 0 0 1 190
9 3 5 1 0 0 0 0 0 0 1 214
7 3 5 0 1 0 0 0 0 0 1 247
8 2 6 0 1 0 0 1 0 0 0 192
8 3 3 1 0 0 0 1 0 0 0 1567
6 2 5 0 1 0 0 0 0 0 1 239
10 2 5 1 0 0 0 0 0 0 1 287
13 2 5 0 1 0 0 0 0 0 1 202
19 2 5 1 0 0 0 0 0 0 1 282
7 2 6 0 1 0 0 0 0 0 1 180
18 2 5 0 1 0 0 0 0 0 1 231
19 3 6 1 1 0 0 0 0 0 1 178
14 3 6 0 1 0 0 0 0 0 1 230
11 3 6 0 1 0 0 0 0 0 1 220
21 3 5 1 0 0 0 0 0 0 1 291
10 3 6 0 1 0 0 0 0 0 1 196
21 2 6 1 0 0 0 0 0 0 1 185
12 3 6 0 1 0 0 0 0 0 1 236
10 2 6 0 1 1 0 0 0 0 0 104
19 3 7 0 1 1 0 0 0 0 0 78
15 5 3 1 0 0 0 0 0 0 1 1092
17 4 5 1 0 0 0 0 0 0 1 752
20 2 5 0 1 0 0 0 0 0 1 296
11 2 5 0 1 0 0 0 0 0 1 237
13 4 4 1 0 0 0 0 0 0 1 935
15 4 3 1 0 0 0 0 0 0 1 1100
9 3 6 0 1 0 0 0 0 0 1 258
18 4 3 1 0 0 0 0 0 0 1 1119
19 2 6 0 1 0 0 0 0 0 1 206
14 5 3 2 0 0 0 0 0 0 1 966
18 5 4 1 0 0 0 0 0 0 1 955
8 5 3 1 0 0 0 0 0 0 1 1098
8 4 4 1 0 0 0 0 0 0 1 909
13 5 3 1 0 0 0 0 0 0 1 1161
16 4 3 1 0 0 0 0 0 0 1 1189
6 4 4 1 0 0 0 0 0 0 1 1157
17 5 4 1 0 0 0 0 0 0 1 1054
9 2 6 0 1 0 0 0 0 0 1 346
16 5 4 1 0 0 0 0 0 0 1 989
21 3 6 0 1 0 0 0 0 0 1 238
12 4 4 1 0 0 0 0 0 0 1 1053
21 2 7 0 1 0 0 0 0 0 1 261
6 5 3 1 0 0 0 0 0 0 1 1255
7 5 4 1 0 0 0 0 0 0 1 942
20 4 4 1 0 0 0 0 0 0 1 1014
12 5 4 1 0 0 0 0 0 0 1 1081
14 4 3 1 0 0 0 0 0 0 1 1165
17 4 6 1 0 0 0 0 0 0 1 233
9 5 4 1 0 0 0 0 0 0 1 978
7 4 3 1 0 0 0 0 0 0 1 1154
20 5 4 1 0 0 0 0 0 0 1 1139
9 4 2 1 0 0 0 0 0 0 1 803
11 5 4 1 0 0 0 0 0 0 1 985
16 4 4 1 0 0 0 0 0 0 1 192
6 4 5 1 0 0 0 0 0 0 1 172
8 5 4 2 0 0 0 0 0 0 1 216
8 4 5 1 0 0 0 0 0 0 1 211
13 4 5 1 0 0 0 0 0 0 1 264
19 5 4 1 0 0 0 0 0 0 1 973
15 5 4 1 0 0 0 0 0 0 1 304
19 4 4 1 0 0 0 0 0 0 1 1150
15 4 4 1 0 0 0 0 0 0 1 275
18 4 4 1 0 0 0 0 0 0 1 273
18 5 5 1 0 0 0 0 0 0 1 256
10 4 4 1 0 0 0 0 0 0 1 1115
17 5 5 1 1 0 0 0 0 0 1 254
11 4 4 1 0 0 0 0 0 0 1 1162
16 5 5 1 0 0 0 0 0 0 1 243
13 5 4 1 0 0 0 0 0 0 1 302
7 5 5 1 0 0 0 0 0 0 1 220
21 5 4 1 0 0 0 0 0 0 1 1185
21 4 4 1 0 0 0 0 0 0 1 1092
12 5 5 1 0 0 0 0 0 0 1 225
20 4 5 1 0 0 0 0 0 0 1 240
12 4 5 1 0 0 0 0 0 0 1 269
7 4 4 0 1 0 0 0 0 0 1 208
6 5 4 1 1 0 0 0 0 0 1 280
16 4 5 0 1 0 0 0 0 0 1 182
14 5 4 1 0 0 0 0 0 0 1 399
17 4 7 0 1 0 0 0 0 0 1 240
9 5 5 1 0 0 0 0 0 0 1 240
13 5 5 0 0 1 0 0 0 0 0 101
9 4 3 1 0 0 0 0 0 0 1 251
19 5 5 1 0 0 0 0 0 0 1 208
6 4 6 0 1 0 0 0 0 0 1 215
15 4 5 0 1 0 0 0 0 0 1 204
15 5 5 0 1 0 0 0 0 0 1 217
8 5 5 0 1 0 0 0 0 0 1 230
18 4 5 0 1 0 0 0 0 0 1 194
20 5 5 0 1 0 0 0 0 0 1 284
8 4 6 0 1 0 0 0 0 0 1 242
19 4 5 1 0 0 0 0 0 0 1 229
14 4 4 1 0 0 0 0 0 0 1 320
11 5 5 1 0 0 0 0 0 0 1 266
13 4 6 0 1 0 0 0 0 0 1 252
7 5 6 0 1 0 0 0 0 0 1 163
16 5 6 0 1 0 0 0 0 0 1 181
18 5 6 0 1 0 0 0 0 0 1 237
11 4 5 1 0 0 0 0 0 0 1 208
10 4 5 1 0 0 0 0 0 0 1 238
21 5 5 1 0 0 0 0 0 0 1 218
12 4 6 0 1 0 0 0 0 0 1 191
21 4 5 1 0 0 0 0 0 0 1 244
20 4 6 0 1 0 0 0 0 0 1 235
14 5 5 0 1 0 0 0 0 0 1 235
12 5 6 0 1 0 0 0 0 0 1 291
17 3 5 1 0 0 0 0 0 0 1 1017
9 4 4 0 1 0 0 0 0 0 1 210
9 5 6 0 1 0 0 0 0 0 1 238
19 4 6 0 1 0 0 0 0 0 1 206
17 2 6 1 0 0 0 0 0 0 1 1129
19 5 6 0 1 0 0 0 0 0 1 248
18 2 6 2 0 0 0 0 0 0 1 894
15 3 6 1 0 0 0 0 0 0 1 1100
11 4 6 0 1 0 0 0 0 0 1 190
